,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4,
AMIGO3,0.510289,0.858863,1.0071,1.21504,0.680733,1.73588,0.916735,1.70346,0.675586,1.18617,1.40719,0,
ANGPTL2,10.8649,2.96422,1.55656,0.486932,15.0169,5.15313,6.73731,1.71097,0.394309,6.07068,1.6854,3.0908,
ANKRD63,0,0,0,0,0,0,0,0,0,0,0,0,
ANP32C,7.95223,6.66725,2.82167,5.34611,4.22595,7.61487,4.1158,8.70562,1.36941,4.88907,2.6253,0.59513,
ANP32D,1.42933,5.87114,2.00597,1.84252,0,1.00006,6.51393,0,0,1.80296,0,1.99987,
ANXA2P3,25.0616,24.5649,18.5466,7.50145,0.607433,1.05022,12.3899,1.20868,3.90731,5.1753,1.08568,1.01331,
AOC4,0.081932,0.0595671,0.033396,0,0.0356938,0,0,0.0420937,0,0.0292126,0,0.120011,
APLNR,4.60874,0.239233,0.157543,0.11539,0.836697,1.09948,7.9635,0.806388,0.126808,0.723772,1.3744,0.323158,
APOA4,0,0,0,0,0,0,0,0,0,0.0495202,0.0844935,0,
AQP12A,0,0,0,0,0,0,0,0,0,0,0,0,
AQP12B,0,0,0,0,0,0,0,0,0,0,0,0,
ARL4A,3.31385,3.66937,2.89537,4.56796,3.33593,2.6491,2.7717,1.98042,0.756684,0.552422,1.8671,1.04618,
ARSI,0.717494,0.345026,0,0.105809,0.426313,0.534147,0.810569,0.180782,0,2.24735,0.677367,0.373223,
ASAP1-IT1,0.0625737,0.0314185,0.515101,0.1551,0.180483,0,0.177819,0.420619,0.473865,1.0152,0.202045,1.01975,
ASCL1,0,0,0,0,0.285025,0,0.100438,0,0.0172825,0.0329847,0,0.316488,
ASCL2,0.0554047,0.0714079,0,0,0.290415,0.95208,0.891751,0.0888164,0.100483,0.0577478,1.15354,0.0870948,
ASIC4,0,0,0,0.0248687,0.113854,0.0990818,0,0.0343863,0,0,0,0.0324786,
ATOH1,0,0,0,0,0.776284,0,0,0,0,0,0.0574509,0.0764009,
ATP5EP2,147.262,83.674,91.2302,149.824,75.6379,121.99,172.119,64.4884,21.3128,98.2045,0,45.5132,
ATP5L2,0.490144,0.0711925,0.206639,0.292944,0.297531,0,0.145845,0.115791,0.278309,0.349632,0.0679653,0.782619,
ATPIF1,168.528,394.599,334.039,374.497,153.249,139.685,244.913,143.78,128.922,73.759,135.251,49.6312,
AURKAPS1,0.34762,0.202492,0.120138,0.340453,0.287107,0.243915,0.731622,0.625965,0.198287,0.477562,0.374362,0.0401925,
AVP,0,0,0,0,0,0,0,0,0,0,0,0,
AZGP1P1,0,0,0,0,0,0,0,0,0,0.0475978,0,0,
B3GNT6,0,0,0,0,0,0.0903639,0,0,0.0252083,0.0565108,0.047305,0.0815765,
BARHL1,0,0,0,0,0.279823,0,0,0,0,0,0,0,
BBS12,3.92752,5.78301,3.504,3.20931,0.725487,0.992099,1.47402,0.615095,0.919155,0.213386,0.494015,0.134238,
BCL2L10,2.24452,3.74623,3.67758,4.33186,0.246416,0.235764,0.504558,2.06954,0,0.105256,0,0.40294,
BHLHA9,0,0,0,0,0,0,0,0,0,0,0,0,
BHLHE23,0,0,0,0,0,0,0,0,0,0,0,0,
BLID,0,0,0.0608225,0.12969,0,0.202066,0,0.104077,0,0.0603486,0.234347,0.233687,
BMP15,0,0.319505,0,0,0,0,0,0,0,0.122566,0,0.0466129,
BOD1L2,0.0165737,0,0,0,0,0,0,0,0,0,0.0269167,0.0396158,
BPIFB6,0,0,0,0,0,0,0,0.0632913,0,0,0,0,
BPY2C,0,0,0,0,0,0,0,0,0,0,0,0,
BRD7P3,0.0482966,0.0288085,0.0629802,0.0195345,0.0960772,0.0105454,0.119182,0.0332157,0.043541,0.158258,0.136684,0.135621,
BTBD17,0,0,0,0,0,0,0,0,0,0,0.0517413,0.0945799,
BTF3P11,0,0,0,0,0,0,0.103395,0,0,0,0,0,
C10orf113,0,0,0,0,0,0,0,0,0,0.34867,0,0.218785,
C10orf53,0.146939,0.146424,0.152616,0,0.268483,0,0,0,0,0.0788507,0.0712607,0.135561,
C10orf62,0,0,0.108234,0.100358,0,0,0.056971,0.361037,0.177748,0.0956456,0.121037,0.162686,
C10orf71,0,0,0,0.0161701,0.0272963,0,0,0,0.00720168,0,0.0109862,0,
C11orf44,0,0.0157555,0,0,0,0.0166929,0,0.0133215,0,0.0336877,0.00866523,0.0275614,
C11orf87,0,0,0,0,0,0.0201176,0.0231035,0,0,0.0160491,0.0134748,0.0856376,
C11orf94,0,0,0,0,0,2.97031,0,4.09981,0,0,0,0,
C12orf68,0.928371,2.34836,6.34866,0.705178,0,3.8568,0.517544,0.30117,0.235411,0.25074,0.608814,0.889907,
C14orf180,0.180736,0,0,0,0.992184,0,0,0,0,0,0.338692,0,
C15orf53,0,0,0,0.0208795,0,0,0.0731292,0,0.0867476,0.065028,0.020281,0,
C15orf59,1.35323,2.74807,0.83882,0.82124,1.13042,1.20194,0.221362,1.91155,0.544415,0.166188,0.439816,0.216671,
C16orf82,0,0,0,0,0.127732,0,0,0.0334401,0,0.128932,0,0.264495,
C16orf92,0,0,0,0,0,0,0,0,0,0,0,0,
C17orf74,0,0,0,0,0,0,0,0.0640737,0,0,0,0.192944,
C17orf96,1.58629,0.941866,0.638076,0.892695,0,2.6063,3.99178,1.73273,0.356752,2.65779,1.00413,0.224277,
C19orf69,0,0,0.0626747,0.124333,0,0,0.066718,0,0,0,0.111322,0,
C1QTNF8,0,0,0.178448,0.0999903,0,0,0,0,0.0372772,0,0.0176368,0,
C1orf233,3.88302,6.65175,5.42121,7.71449,0.155547,12.1923,1.91147,8.27417,0.697347,2.34447,6.69777,2.85253,
C1orf64,0,0,0,0,0,0.257149,0,0.119738,0,0,0.0739958,0,
C1orf65,0,0.111733,0,0.152781,0,0,0,0.195489,0,0.0323669,0,0.0375211,
C1orf68,0,0,0,0,0,0,0,0,0,0,0.238594,0,
C1orf94,0,0,0,0,0,0,0,0.153785,0,0.0501396,0.0659704,0.100115,
C1orf95,0.812531,0.0110807,0.0665637,0,0.881559,0.0275299,0.0127864,0.00806885,0.0106647,0.027353,0.166956,0.245301,
C20orf141,0,0,0,0,0,0,1.85724,0,0,0.183068,0.154583,0.210951,
C20orf201,0,0,0,0,0,0,0,0.184665,0,0,0.110488,0,
C21orf119,6.26571,8.06983,5.26521,8.92914,8.36525,11.9856,3.25855,11.3434,5.45823,2.65989,3.01477,1.18319,
C2CD4C,3.15014,0.585854,1.9411,2.65691,0.730299,0.550443,0.0374655,0.813421,0,0,0.349534,0.184326,
C2orf72,0.308168,0.171967,0.0143238,0.113057,0.159543,0.77252,0.0770222,0.603215,0,0.0530788,0.223126,0.034767,
C6orf195,0,0.0230946,0.0493216,0.0233434,0,0.116315,0.132572,0.0344446,0.112781,0.0700388,0,0.159436,
C8orf48,1.00635,5.06055,0.431831,0.0991966,0.284504,1.0879,2.0253,0.697841,2.74527,0.282461,1.18996,0.217485,
C9orf92,0,0,0,0,0,0,0,0,0,3.41306,2.14628,1.12985,
CABS1,0,0.0203041,0,0,0,0,0,0.0341295,0,0.0844249,0.063139,0.140244,
CACNA1G-AS1,0,0.144894,0,0.0936831,0,0.138304,0,0,0.0860284,0,0,0.0607416,
CACNA1I,0.017484,0.0600486,0.0158153,0,0.0235802,0.407786,0.0415972,0.055184,0.00566323,0.0254659,0.0480178,0.0556991,
CADM2-AS2,0,0,0,0,0,0,0,0,0,0,0,0,
CALCB,0,0,0,0,0,0,1.59033,0,0.10139,0,0,0,
CALHM1,0,0,0,0,0.0426569,0,0,0.0530033,0.0169133,0.0181567,0.0156317,0.139184,
CALML5,0.0847183,0.10278,0,0.706789,0,0,0,1.95663,0.0849505,11.4167,0.258622,0,
CALY,0,0.0838542,0,0,0,0.171941,0.103369,0,0,0,0,0.187158,
CAPNS2,0.299182,0.102022,0.102742,0,0,0.281592,0.159233,0.0886061,0.0523305,0.155469,0.0496495,0.0548424,
CBLN1,1.95947,0.031889,0.0333596,1.04894,0.282142,0.10108,0.94612,0.182143,0.0331191,0.126331,0.096761,0.0731819,
CCDC140,0,0,0,0,0,0,0,0,0,0,0.0435654,0.0405668,
CCDC166,0,0,0,0,0,0,0,0,0,0,0,0,
CCDC177,0,0.0176024,0,0.0343417,0,0,0.0223186,0.0250887,0,0.0325549,0,0.158716,
CCDC87,0.191498,0.664935,0.0971927,0.486523,0.100429,0.348059,0.0841863,0.0501093,0.11323,0.0342789,0.200725,0.102546,
CCDC96,5.89964,22.3288,16.451,11.3758,0.558157,0.986559,1.34033,1.74341,2.77319,0.495143,0.867986,0.466414,
CCK,0.296308,0.314399,0,0,0.676819,0.506124,0,1.25866,0,0,0,0.0600079,
CCL11,3.38308,0.691257,0,0,0,1.59653,3.37803,0.0833335,0.327276,2.45759,3.13032,4.88075,
CCRL1,0.464979,0.0843019,0.118181,0,0.958403,0.126162,0.264578,0.224619,0.105551,0.583258,0.165081,0.267734,
CDC14C,0.0951392,0.174137,0.0287864,0.0678476,0.160889,0.0522725,0.222542,0.148308,0.0213514,0.0201279,0.0206363,0,
CDK5R1,0.324393,1.12717,0.708879,0.912355,0.238046,1.04712,2.3976,0.312729,0.145217,0.336312,0.529415,0.124404,
CDK5R2,0,0,0,0,0,0.0305342,0.134571,0,0,0,0.12793,0.0934944,
CDX2,0,0,0,0,0,0,0,0.0373228,0,0.0493623,0.0214181,0.0905713,
CEBPA,3.86234,0.835703,1.51443,1.02715,4.81622,12.2659,18.6883,2.87572,1.21566,0.847458,6.71819,18.5827,
CEBPA-AS1,0.822104,0.195822,0.186697,0.728207,1.50802,0.523851,0.598296,0.387989,0.0718608,0.128477,0.842524,0.412735,
CEBPE,0,0,0.0597599,0.151186,0.271629,0.296552,0,0.135557,0,0.137396,0.0377067,0.116421,
CECR3,0,0,0,0,0,0.0228402,0,0.034205,0.0222906,0.0876329,0,0.0531913,
CECR6,0.489479,0.205573,0.159792,0.195199,0.0151769,1.40813,0.389799,0.322541,0.0964934,0.148575,0.282867,0.153064,
CEND1,0.0399889,0,0.220111,0.0448697,0,0.0876526,0.0577676,0.0581241,0.179752,0.125998,0.297834,0,
CER1,0,0,0,0,0,0,0,0,0,0.0856426,0.23597,0.0453656,
CETN1,0,0,0,0,0,0,0,0,0,0,0.0876406,0.210271,
CHMP1B,16.5948,29.2942,12.0575,17.3548,6.38594,12.3509,10.3721,17.8904,4.59404,18.1275,9.98887,8.69605,
CHRM1,0,0,0,0,0.0556862,0,0,0.0328655,0.0204512,0.0927188,0.038128,0.217767,
CHRNB2,0.120393,0.0758159,0.0533663,0.0653188,0.0221387,0.111825,0.100641,0.0134149,0,0.0462748,0.0483916,0.0837618,
CHST2,2.32659,4.21321,1.57082,6.73251,0.532842,2.89136,2.60876,5.54869,0.151536,0.481133,0.883816,0.321364,
CHST8,0.0989931,0,0.0498834,0,0.205701,0,0.0567124,0.0513573,0,0,0,0.0849505,
CLDN17,0,0,0,0,0,0,0,0,0,0.642323,0.197011,0.124057,
CLDN19,0,0,0,0,0.153406,0,0,0.140134,0,0.0996177,0.0132298,0.267963,
CLDN25,0,0,0,0,0,0,0,0,0.114224,0.120847,0.107789,0,
CLDN5,6.51211,1.16755,2.2526,0.676649,23.1881,1.21218,0.706695,1.44006,0.564767,1.24814,1.02293,9.13204,
CLDN6,0.17402,5.17705,0.0506403,0.671546,0,2.65186,0,14.524,0.043567,13.629,6.20143,0.175888,
CLRN3,0.04048,0.118513,0.161615,0,0,0,0,0.0670972,0,0,0,0.0451998,
CNGA3,0.0204152,0.0218078,0.0117546,0,0,0,0,0.0512571,0.0426069,0,0.0928223,0.086092,
COA3,129.687,113.455,101.44,156.464,125.166,61.0648,97.7324,48.5916,22.7297,26.2423,32.9345,19.2547,
COL8A2,5.55906,4.75168,3.49044,1.38977,2.30491,9.56209,6.30579,5.51041,1.71012,0.652219,2.82921,9.68206,
COX8C,0,0,0.317804,0,0,0,0.486624,0,0,0.554915,0,0,
CPLX3,0,0,0,0,0.173221,0,0.0881285,0.036079,0,0.303422,0.149972,0.0620163,
CPLX4,0,0.0172101,0,0.0175965,0,0,0,0,0.0733361,0.140902,0.0176314,0.173542,
CPS1-IT1,0,0,0,0,0.159956,0,0,0.0390357,0.0135578,0.0225805,0.307117,0.0590418,
CRNN,0.216965,0.668779,0.813253,0.701031,0,0,0,0,0,0,0,0.244972,
CRYAA,0,0,0,0,0,0,0.101234,0.101558,0.262856,0,0.062835,0,
CRYBA2,0,0,0,0,0,0,0,0,0,0,0,0,
CSDAP1,12.1057,10.1611,7.84409,5.39079,2.0683,3.85674,5.93701,1.7692,1.45148,2.95992,2.48728,0.818353,
CST11,0,0,0,0,0,0,0,0,0,0.559691,0,0,
CST13P,0,0,0,0,0,0,0,0,0,0,0,0,
CST5,0.315173,1.6771,0.55452,0.897322,0,1.61801,0,6.72637,0,0.422968,0.181853,0,
CST9,0,0,0.0658292,0,0,0,0,0.137338,0,0.242048,0.0820189,0.141288,
CSTF2T,5.50741,7.66845,4.07271,3.91538,2.83077,5.02983,5.84669,5.1271,2.1649,2.39258,2.33506,1.81672,
CTXN3,0,0,0,0,0,0,0,0,0,0.0831889,0,0.0228154,
CX3CR1,2.40282,1.40475,2.20776,0.280161,0.149098,8.45813,1.01567,3.27927,0.187469,1.07357,1.20643,0.248014,
CXCL14,21.8259,1.28377,0.813586,0.021835,40.6314,42.0174,1.69907,2.24426,0.613261,19.4372,22.8329,12.5144,
CXCR4,45.9094,16.6353,13.8711,12.7723,3.3474,60.0313,55.849,15.2077,6.70533,35.8977,28.5415,52.218,
CXXC11,0,0,0,0,0,0,0,0,0,0.0454612,0.111227,0.127124,
CYCSP52,5.73005,8.01684,0,0,0,0,0,0,0,0,0,0,
CYP26B1,0.0623164,0.056956,0.0126686,0.0333795,0.474206,0.0677598,0.138727,0.16277,0.0623412,0.271251,0.417692,0.516097,
DDN,0,0.0349813,0.0397871,0.0171299,0.0568303,0.0336034,0.168337,0,0.0720168,0.0801703,0.0558724,0.100178,
DDX39B,0,0,0,0,0,0,0,0,0,0,0,0,
DDX3Y,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA1,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA10P,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA11P,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA1B,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA5,0,0,0,0,0,0,1.1385,0,0,0,0,1.22109,
DEFA8P,0,0,0,0,0,0,0,0,0,0,0,0,
DEFA9P,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB104A,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB104B,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB106A,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB106B,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB107A,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB107B,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB108B,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB110,0,0,0,0,0,0,0,0,0,0,0,0.962683,
DEFB112,0,0,0,0,0,8.4034,0,4.97218,0,3.20681,2.83784,0,
DEFB113,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB114,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB115,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB116,0,0,0,0,0,0,0,0,4.61869,6.365,0,0,
DEFB121,0,0,0,0,0,0,0,0,0,0,0.631842,0,
DEFB123,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB128,0,0,0,0,0,0,0,0,0,12.2109,0,0,
DEFB131,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB132,0,0,0,0,0,0,0,0.0222286,0,0.0269199,0.027585,0.024723,
DEFB133,0,0,0,0,0,50.176,0,0,0,0,0,0,
DEFB134,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB135,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB136,0,0,0,0,0,0,0,0,0,0,0,11.4534,
DEFB4A,0,0,0,0,0,0,0,0,0,0,0,0,
DEFB4B,0,0,0,0,0,0,0,0,0,0,0,0,
DEGS2,2.86168,3.68055,1.96668,2.18436,1.62102,3.63115,0.353383,13.2558,0.986349,0.679202,3.02351,0.353346,
DISC2,0,0,0,0,0,0,0,0,0,0,0,0.299575,
DKFZp434L192,0,0,0,0,0,0,0,0,0,0,0.0592664,0,
DKFZp686D0853,0.0134346,0,0.0169891,0,0.186007,0,0.00460864,0.0313835,0.0109491,0.122906,0.101419,0.176097,
DLX1,0,0,0.0420287,0,0,0.0207829,0.0474766,0,0,0,0.0385359,0.124769,
DLX2,0,0,0,0,0,0.198835,0,0,0,0,0.0236714,0.0388314,
DLX3,0,0.0414919,0.0227502,0.0831007,0.458502,0.734858,0.823279,0,0,1.73344,0.939447,0.097762,
DLX4,0.0816619,0.317813,0.451427,0.173341,0,0.17309,0.44165,0.46055,0.450483,0.341309,0.685337,0.261875,
DMRTB1,0,0,0,0,0.294393,0,0,0,0,0,0,0.131045,
DNAJB3,0,0,0,0,0,0.0394461,0,0,0,0,0,0.0825057,
DNAJB8,0,0,0,0,0,0,0,0,0,0,0,0.0877095,
DNAJB8-AS1,0,0,0,0,0,0,0,0.0380449,0,0,0.0219435,0.0277893,
DPEP1,0.0768612,0.198671,0.504271,0.610308,0,0.408021,0.732738,0.558373,0,0.040444,0,0.879759,
DPH3P1,1.1602,0.663883,1.14276,0.230619,0.263674,1.82556,1.14217,1.18233,1.50305,1.53937,1.21494,0.502189,
DPPA2P3,0,0.036965,0,0,0,0,0,0.123371,0,0.0376345,0,0.03697,
DPPA5,0,0,0,0,0.132033,0,0,0,0,0.118051,0,0,
DSCR10,0,0,0,0,0,0,0,0,0,0,0,0,
DUSP9,0.0859472,0.403528,0.704631,0.0320543,0,0.978053,0.848903,1.09117,0,0.306439,1.08003,0,
DUX2,0,0,0,0,0,0,0,0,0,0,0,0,
DUX4,0,0,0,0,0,0,0,0,0,0,0,0,
DUX4L4,0,0,0,0,0,0,0,0,0,0,0,0,
DUX4L6,0,0,0,0,0,0,0,0,0,0,0,0,
ECRP,0,0.27316,0,0,0,0.845298,0.55557,0,0,0.1421,0,0,
EDDM3B,0,0,0,0,0,0,0,0,0,0,0.0556295,0,
EGR4,0,0,0.112606,0,0,0.162496,0.0656615,0.0540089,0.0327882,0.382464,0,0.244546,
EID3,1.02759,1.54072,1.14387,0.363471,1.87299,0.841317,0.743996,0.874124,0.671266,0.975531,1.34225,0.365498,
EIF1AY,0,0,0,0,0,0,0,0,0,0,0,0,
EIF4EBP2,13.8536,15.6371,8.42694,10.0475,10.901,16.4711,15.886,12.7005,2.57182,6.95295,6.93389,3.56115,
EIF5AL1,4.0495,4.53827,1.40045,4.66522,1.89487,2.75617,4.06975,1.33658,1.00134,2.65114,1.83956,1.13742,
ELANE,0,0,0.378258,0,1.88184,0.214079,0,0.148169,0,0.0981886,0,0.128481,
EMC6,46.7571,49.5429,41.451,67.9628,24.9909,0,0,32.3218,12.4547,25.8477,23.4975,14.0215,
EMX1,0,0,0.132399,0,0,0,0,0,0.031258,0,0,0,
EN1,0.0930008,0,0,0,0.0818806,0,0.073834,0,0.0160442,0.0784976,0.015974,0.130977,
EN2,0.0121144,0.0253563,0.0542304,0.0362552,0.0607087,0.090305,0,0.100029,0.0402996,0.102125,0.0247593,0.311817,
ENHO,0,0.303328,0.264544,0.608453,0.339465,1.75195,0,3.78288,0.587084,0.961787,1.90733,0,
ERC2-IT1,0.0279531,0,0.173714,0.0283573,0,0,0.0926357,0.0952169,0.154301,0.131444,0.187215,0.0926389,
ERICH1-AS1,0,0.087726,0.0999327,0,0,0,0,0,0,0,0.076086,0,
ESX1,0,0,0,0,0,0,0,0,0,0,0,0,
EVX1,0,0,0,0,0,0,0,0,0,0,0,0,
EVX2,0,0,0,0,0,0,0,0,0,0.100757,0,0,
F9,0,0,0,0,0,0,0,0,0,0.0757078,0.0194216,0.00931408,
FABP1,0,0,0,0,1.00618,0,0,0,0,0,0,0,
FABP9,0,0,0,0,0,0,0,0,0,0.94201,0,0,
FAM106CP,0.0384747,0,0,0,0.0710675,0,0.187114,0,0.0639201,0.0809723,0.0402712,0.375368,
FAM155B,0.580568,0.484121,0.245671,2.29034,0,1.94365,1.43689,2.86932,0.0125049,0.0816489,0.12679,0.0874923,
FAM163B,0,0,0,0,0,0.0736507,0.194554,0,0,0,0,0,
FAM196B,0.103162,0.266535,0.0415102,0,0.0116478,0.497819,0.021983,0.0456792,0,0.0503727,0.018611,0.0231074,
FAM197Y2,0,0,0,0,0,0,0,0,0,0,0,0,
FAM205B,0.0054171,0,0,0,0,0,0,0,0,0.0292079,0,0.0341457,
FAM230C,0,0,0,0,0,0,0,0,0,0,0,0,
FAM25A,0,0,0,0,0,0,0,0,0,0,0,0,
FAM27L,0,0,0,0,0,0,0,0,0,0,0,0,
FAM47A,0,0,0,0,0,0,0,0.0268434,0.0171196,0.0386561,0.0847539,0.131088,
FAM47B,0,0,0,0,0,0,0,0.035954,0,0.124904,0.022137,0.0849146,
FAM69C,0.183188,0,0.0657479,0.401827,0.134457,0.0298577,0.0742637,0.0427865,0,0,0,0.185292,
FAM71C,0,0,0.0225713,0,0.208393,0,0,0.0699982,0,0.132056,0.0607907,0.0245251,
FAM78A,0.904755,0.367932,0.636899,0.143973,0.434733,2.86445,4.68246,0.69382,0.44439,0.663107,1.20232,1.0526,
FAM83C,0,0,0,0,0,0,0.0235166,0,0,0.0184063,0.060173,0,
FAM99A,0,0,0,0,0,0,0,0,0,0,0,0.0485517,
FAM99B,0,0,0,0,0,0,0,0,0,0,0,0,
FBLL1,0.831488,0.60472,0.502536,0.100699,0.106661,2.01242,0,0.144059,0.0840591,0.445243,0.41302,0.123887,
FBXW4P1,1.37656,0.895022,1.0265,0.57454,0.970019,0.414873,0.834062,0.425451,0.511439,0.989147,0.265197,0.292963,
FEV,0,0,0,0,0.0607844,0,0,0.0699357,0,0,0.157905,0.150957,
FEZF1-AS1,0,0,0,0,0,0,0,0,0,0,0,0.0450067,
FGF13-AS1,0.30092,0.172885,0.0567367,0.0635473,0.681477,0,0.243557,1.04729,0.957962,0.0575428,0,0.354048,
FGF14-AS2,2.19606,4.32488,2.96975,1.25968,2.67976,0.485177,0.749614,0.959651,0.203219,0.121002,1.01845,0.422946,
FGF16,4.23659,0,0,0,8.45652,0,0,0,0,3.58761,0,0,
FGF3,0,0,0,0,0,0.309871,0,0.16842,0,0,0,0,
FGF4,0,0,0,0,0,0,0,0,0,0,0,0.108015,
FGF6,0,0,0,0,0,0,0,0,0,0,0,0.120545,
FKSG29,0,0,0.233006,0,0,0,0,0,0,0,0.346287,0,
FLJ10038,0,0.995252,0,0,0.840233,1.65294,0,0,0,0,0,0,
FLJ25328,0,0,0,0,0,0,0,0.0490711,0,0,0.0583265,0.109237,
FLJ30679,0,0.0210975,0.112499,0,0,0.129777,0,0.127927,0,0,0,0,
FLJ35424,0,0,0.0295238,0,0.0910751,0,0,0,0.0159297,0.0618713,0.0270717,0.127374,
FLJ43315,0,0,0,0,0,0,0,0,0,0,0,0,
FOXB1,0,0,0,0,0,0,0,0,0,0,0,0,
FOXD3,0,0,0,0,0.674998,0.0487088,0.0801779,0.0659088,0.269318,0,0,0.0612081,
FOXD4L2,0,0,0,0,0,0,0,0,0,0,0,0,
FOXE1,0,0.282488,0,0,0,0,0,0.076021,0.0158382,0.0336527,0.137192,0,
FOXE3,0,0,0.14794,0,0,0,0,0,0,0,0.0408578,0.0796334,
FOXF2,0.69119,3.51038,3.11375,0.460092,0.333855,6.33968,0.551894,0.261385,0.127197,0.42107,0.359487,0.680161,
FOXG1,0,0,0,0,0,0.0442611,0,0,0,0.0318379,0.0450266,0.163391,
FOXI1,0,0,0,0,0,0,0,0,0,0.236257,0.0897056,0.096082,
FOXI2,0.317609,0,0.0438606,0,0.225274,0,0,0.0478853,0,0.0184526,0,0,
FOXN3-AS1,2.01538,0.882505,0.824312,0.246512,2.7865,1.45777,2.25241,2.87888,0.266838,0.766063,0.960531,1.0153,
FOXN3-AS2,0,0,0,0,0,0,0.0941529,0.149776,0.129675,0.210627,0.269177,0.315344,
FOXR2,0,0,0,0,0,0,0,0,0,0.0532915,0.0108657,0.0316073,
FRMD6-AS1,0.218512,0.218355,0.573636,0.685267,0.949707,1.03104,0.519026,0.958233,1.3506,0.616139,0.741021,0.92053,
FSCB,0,0,0,0,0,0.02975,0,0,0,0.0874777,0.0464728,0.0386289,
FSHB,0,0,0,0,0,0,0,0,0,0.0172223,0.0712479,0,
FTH1P18,0,0,0,0,0,0,0,0,0,0,0,0,
FTHL17,0,0,0,0,0,0,0,0.150358,0,0,0.179614,0,
FTMT,0,0,0,0,0,0,0,0,0,0,0.0867219,0,
FUNDC2P2,0.549383,0.107122,0.191639,0.218879,0.217191,0.201796,0.240981,0,0,0.270547,0.189075,0.0569023,
FUT9,0.190212,0.122511,0.0204162,0.133468,0.00833517,0.216526,0.0431623,0.0149024,0.0123212,0.0543595,0.0132532,0.0267363,
FZD10,2.39884,3.80191,3.28695,5.40603,0.700542,1.74272,0.0559862,5.68456,0.0283148,2.0436,0.814656,0.580479,
FZD9,0.187814,0.091072,0.0573308,0.180283,0.918332,0.447931,0.0651063,0.0612166,0,0.0412322,0.0688524,0,
GAB4,0,0,0,0,0,0,0,0,0.0184609,0,0,0.196232,
