Gene 1,Gene 2,GeneExpr1,GeneExpr2,GeneExpr_Fused,EricScore,File
ZNF207,LCMT2,11.07,3.14,18.75,0.771,DOGSIFH100529.5
KCNK6,WDR97,14.39,4.07,14.67,0.930,DOGSIFH100529.2
KCNK6,IL4R,10.46,4.82,43.05,0.817,DOGSIFH100529.6
KCNK6,SSTR2,7.48,4.12,37.34,0.972,PLATYPUS100611.7
KCNK6,IL4R,7.48,4.2,6.84,0.918,PLATYPUS100611.7
KCNK6,AFF4,7.48,5.46,28.25,0.594,PLATYPUS100611.7
KCNK6,AFF4,9.68,12.37,26.66,0.918,DOGSIFH100529.5
MRPS22,SFPQ,3.47,35.67,57.1,0.937,DOGSIFH100529.2
MRPS22,COPB2,3.73,24.56,35.61,0.544,DOGSIFH100529.6
MRPS22,SFPQ,2.03,10.64,31.73,0.914,PLATYPUS100611.7
MRPS22,COPB2,1.61,21.62,5.19,0.898,DOGSIFH100529.5
MRPS22,SFPQ,1.61,46.83,54.61,0.875,DOGSIFH100529.5
STK33,SPEF2,12.07,7.58,16.59,0.810,DOGSIFH100529.2
STK33,RSRP1,4.13,44.25,61.67,0.974,DOGSIFH100529.6
STK33,GYPE,3.7,0.46,17.88,0.694,PLATYPUS100611.7
STK33,GADL1,3.57,4.32,18.69,0.611,DOGSIFH100529.5
STAG3,STAG3L5P-PVRIG2P-PILRB,3.49,2.54,55.91,0.907,DOGSIFH100529.2
STAG3,PILRB,2.54,0.53,10.81,0.904,DOGSIFH100529.2
STAG3,RFC1,3.49,10.79,14.41,0.785,DOGSIFH100529.2
STAG3,STAG3L5P-PVRIG2P-PILRB,2.59,8.21,58.14,0.908,DOGSIFH100529.6
STAG3,RFC1,0.57,8.68,19.62,0.714,PLATYPUS100611.7
STAG3,STAG3L5P-PVRIG2P-PILRB,0.53,2.82,31.77,0.956,DOGSIFH100529.5
ZNF480,PUS7L,4.17,6.24,14.78,0.707,DOGSIFH100529.2
ZNF480,DNTTIP2,4.17,15.84,10.49,0.672,DOGSIFH100529.2
ZNF480,DDHD1,12.06,2.65,102,0.946,DOGSIFH100529.6
ZNF480,FRK,12.06,45.31,31.78,0.725,DOGSIFH100529.6
ZNF480,CYP46A1,12.06,13.27,336.09,0.610,DOGSIFH100529.6
ZNF480,ZBTB20,24.69,8.97,26.82,0.547,PLATYPUS100611.7
ZNF480,TMEM212,7.03,14.07,31.41,0.882,DOGSIFH100529.5
ZNF480,SP100,7.03,11.18,31.7,0.695,DOGSIFH100529.5
ZNF480,SP100,7.03,11.18,49.27,0.611,DOGSIFH100529.5
LCMT2,DARS,2.99,21.99,37.98,0.619,DOGSIFH100529.2
LCMT2,ZNF207,2.49,13.74,18.33,0.967,DOGSIFH100529.6
LCMT2,ZNF207,1.63,7.24,17.37,0.750,PLATYPUS100611.7
LCMT2,ZNF207,3.14,11.07,18.75,0.771,DOGSIFH100529.5
FCRL5,TPRXL,0.76,2.79,479.25,0.690,DOGSIFH100529.2
FCRL5,PPP1CB,1.54,45.51,19.98,0.955,DOGSIFH100529.6
FCRL5,EFHC1,1.54,9.68,73.86,0.906,DOGSIFH100529.6
FCRL5,CCDC122,1.54,3.76,301.72,0.576,DOGSIFH100529.6
FCRL5,ADAM32,1.54,0.53,86.64,0.511,DOGSIFH100529.6
FCRL5,EFHC1,0.84,6.44,298.15,0.710,PLATYPUS100611.7
FCRL5,TPRXL,0.84,2.31,147.83,0.516,PLATYPUS100611.7
FCRL5,CCDC122,0.3,7.26,270.32,0.618,DOGSIFH100529.5
TMEM165,POLN,9.98,2.6,22.38,0.949,DOGSIFH100529.2
TMEM165,NDUFB2,12.11,12.72,28.7,0.959,DOGSIFH100529.6
TMEM165,WDR66,6.94,3.17,47.79,0.887,PLATYPUS100611.7
TMEM165,RNF220,6.94,2.11,6.09,0.575,PLATYPUS100611.7
TMEM165,RNF220,16.4,4.69,23.84,0.652,DOGSIFH100529.5
